hgnc_symbol	hgnc_id
IMPDH1P5	HGNC:33960
RNVU1-26	HGNC:54429
RNVU1-2A	HGNC:54430
DLG5	HGNC:2904
ARHGEF26	HGNC:24490
LINC01839	HGNC:41330
LINC02054	HGNC:52894
RNU6-222P	HGNC:47185
FTCD	HGNC:3974
ADI1	HGNC:30576
TRAPPC12	HGNC:24284
KRTAP9-3	HGNC:16927
ARHGEF26-AS1	HGNC:41048
FTCD-AS1	HGNC:40243
LSS	HGNC:6708
TPO	HGNC:12015
LINC01659	HGNC:52447
SUDS3P1	HGNC:44000
ZDHHC8P1	HGNC:26461
PROP1	HGNC:9455
LINC00254	HGNC:14160
HS3ST6	HGNC:14178
MEIOB	HGNC:28569
CES5AP1	HGNC:38516
LINC02124	HGNC:52981
KRT20	HGNC:20412
KCNQ2-AS1	HGNC:40321
FAM230I	HGNC:52446
KCNQ2	HGNC:6296
ERICH1	HGNC:27234
KRTAP3-1	HGNC:16778
KRTAP3-2	HGNC:16779
ZNF965P	HGNC:42025
GXYLT1P1	HGNC:39676
KRTAP4-9	HGNC:18910
CYP4F34P	HGNC:39953
LINC02557	HGNC:53596
CNN2P12	HGNC:39834
SNX18P26	HGNC:39634
LINC00328-2P	HGNC:42027
ANKRD20A9P	HGNC:42023
KRTAP2-4	HGNC:18891
RNU6-55P	HGNC:42545
KRT23	HGNC:6438
ABCB11	HGNC:42
SPATC1L	HGNC:1298
G6PC2	HGNC:28906
SLC45A2	HGNC:16472
RXFP3	HGNC:24883
ADAMTS12	HGNC:14605
ABCB10P1	HGNC:14114
GOLGA8DP	HGNC:32376
SPC25	HGNC:24031
LINC02549	HGNC:53584
APOBEC3B-AS1	HGNC:43836
APOBEC3A	HGNC:17343
GARRE1	HGNC:29016
DLG5-AS1	HGNC:45109
TUBGCP5	HGNC:18600
RN7SL284P	HGNC:46300
RNU6-1266P	HGNC:48229
SEPTIN9-DT	HGNC:52818
SEPTIN9	HGNC:7323
LSM14A	HGNC:24489
KRT40	HGNC:26707
GOLGA6L1	HGNC:37444
CRIM1	HGNC:2359
ELMO2P1	HGNC:38008
RPL21P36	HGNC:36128
CRIM1-DT	HGNC:54057
NOSTRIN	HGNC:20203
MPHOSPH10P5	HGNC:55691
KRTAP1-1	HGNC:16772
KRTAP4-11	HGNC:18911
KRTAP2-5P	HGNC:18920
CYFIP1	HGNC:13759
KRTAP1-3	HGNC:16771
KRTAP4-16	HGNC:18921
KRT12	HGNC:6414
DLGAP2-AS1	HGNC:50467
DLGAP2	HGNC:2906
KRTAP1-5	HGNC:16777
KRT39	HGNC:32971
ANKRD18DP	HGNC:28016
CNTNAP2	HGNC:13830
RPS17	HGNC:10397
GOLGA6L22	HGNC:50289
SLC25A51P1	HGNC:23325
ADH5P4	HGNC:21377
AADACL2	HGNC:24427
KRTAP3-4P	HGNC:18919
GOLGA8EP	HGNC:32377
KRTAP2-1	HGNC:16775
SKA1	HGNC:28109
METRNL	HGNC:27584
KRTAP3-3	HGNC:18890
LINC02066	HGNC:52911
KRTAP2-3	HGNC:18906
AADACL2-AS1	HGNC:50301
RNU6-821P	HGNC:47784
ZNF43	HGNC:13109
KRTAP4-12	HGNC:16776
KRTAP1-4	HGNC:18904
HERC2P2	HGNC:4870
PAXBP1	HGNC:13579
ZNF100	HGNC:12880
C21orf62	HGNC:1305
FRG1-DT	HGNC:51590
CCNYL6	HGNC:54657
HERC2P7	HGNC:4875
SPATA31E3P	HGNC:43828
GOLGA8IP	HGNC:26660
C21orf62-AS1	HGNC:1290
RNU1-51P	HGNC:48393
DNM1P38	HGNC:35188
KCNIP4	HGNC:30083
BRI3BPP1	HGNC:51482
VN1R84P	HGNC:37404
MTDHP4	HGNC:52360
MAPK4	HGNC:6878
CPEB1	HGNC:21744
TBCD	HGNC:11581
RNA5SP458	HGNC:43358
LRRC56	HGNC:25430
MPHOSPH10P9	HGNC:55696
CTDP1-DT	HGNC:26370
RPS6P22	HGNC:35655
LRIG3-DT	HGNC:55476
MAFIP	HGNC:31102
SMN2	HGNC:11118
CTDP1	HGNC:2498
DECR2	HGNC:2754
MREGP1	HGNC:50749
AP2A2	HGNC:562
SNTB2	HGNC:11169
RPL4P5	HGNC:35699
PHRF1	HGNC:24351
UTP4	HGNC:1983
SINHCAF	HGNC:30702
MAD2L1-DT	HGNC:55546
GART	HGNC:4163
ABR	HGNC:81
MEGF11	HGNC:29635
RPS5P3	HGNC:10427
DNAJC28	HGNC:1297
UGT2A3	HGNC:28528
B3GNTL1	HGNC:21727
